GEO_ID,NAME,TOTAL,HISP,WNH,BNH,H,W,B,Race
47157020511,"Census Tract 205.11, Shelby County, Tennessee",1713,40,218,1406,2.33508464681845,12.7262113251605,82.0782253356684,B
47157020521,"Census Tract 205.21, Shelby County, Tennessee",2261,41,132,2054,1.81335692171605,5.83812472357364,90.8447589562141,B
47157020523,"Census Tract 205.23, Shelby County, Tennessee",2076,121,168,1732,5.82851637764933,8.09248554913295,83.4296724470135,B
47157020524,"Census Tract 205.24, Shelby County, Tennessee",3352,168,259,2830,5.01193317422434,7.72673031026253,84.4272076372315,B
47157020531,"Census Tract 205.31, Shelby County, Tennessee",3784,676,553,2453,17.8646934460888,14.6141649048626,64.8255813953489,B
47157020532,"Census Tract 205.32, Shelby County, Tennessee",4658,185,712,3640,3.97166165736368,15.2855302705024,78.1451266638042,B
47157020541,"Census Tract 205.41, Shelby County, Tennessee",3978,187,544,3093,4.7008547008547,13.6752136752137,77.7526395173454,B
47157020542,"Census Tract 205.42, Shelby County, Tennessee",3625,193,392,2915,5.32413793103448,10.8137931034483,80.4137931034483,B
47157020543,"Census Tract 205.43, Shelby County, Tennessee",2208,73,144,1937,3.30615942028985,6.52173913043478,87.7264492753623,B
47157020544,"Census Tract 205.44, Shelby County, Tennessee",1704,80,262,1282,4.69483568075117,15.3755868544601,75.2347417840376,B
47157020610,"Census Tract 206.10, Shelby County, Tennessee",3225,241,696,2128,7.47286821705426,21.5813953488372,65.984496124031,B
47157020621,"Census Tract 206.21, Shelby County, Tennessee",5235,254,1743,2956,4.85195797516714,33.2951289398281,56.4660936007641,B
47157020657,"Census Tract 206.57, Shelby County, Tennessee",3744,147,1513,1840,3.92628205128205,40.4113247863248,49.1452991452991,B
47157020658,"Census Tract 206.58, Shelby County, Tennessee",3776,216,1172,2200,5.72033898305085,31.0381355932203,58.2627118644068,B
47157021021,"Census Tract 210.21, Shelby County, Tennessee",4866,238,1469,2768,4.89108096999589,30.1890669954788,56.8845047266749,B
47157021022,"Census Tract 210.22, Shelby County, Tennessee",5091,210,1464,3003,4.12492634060106,28.7566293459045,58.9864466705952,B
47157021111,"Census Tract 211.11, Shelby County, Tennessee",2938,606,974,1187,20.6262763784888,33.1518039482641,40.4016337644656,B
47157021121,"Census Tract 211.21, Shelby County, Tennessee",3975,212,1595,1930,5.33333333333333,40.125786163522,48.5534591194969,B
47157021122,"Census Tract 211.22, Shelby County, Tennessee",4170,676,1531,1607,16.21103117506,36.7146282973621,38.537170263789,B
47157021124,"Census Tract 211.24, Shelby County, Tennessee",6079,768,1985,2840,12.6336568514558,32.6533969402862,46.7182102319461,B
47157021135,"Census Tract 211.35, Shelby County, Tennessee",5090,556,1998,2056,10.9233791748527,39.2534381139489,40.3929273084479,B
47157021136,"Census Tract 211.36, Shelby County, Tennessee",4208,187,1762,1887,4.44391634980989,41.8726235741445,44.8431558935361,B
47157021138,"Census Tract 211.38, Shelby County, Tennessee",3219,150,1259,1530,4.65983224603914,39.1115253184219,47.5302889095993,B
47157021141,"Census Tract 211.41, Shelby County, Tennessee",5836,468,2129,2746,8.01919122686772,36.4804660726525,47.0527758738862,B
47157021200,"Census Tract 212, Shelby County, Tennessee",1675,105,491,1058,6.26865671641791,29.3134328358209,63.1641791044776,B
47157021333,"Census Tract 213.33, Shelby County, Tennessee",3106,183,1352,1391,5.89182227945911,43.5286542176433,44.7842884739214,B
47157021334,"Census Tract 213.34, Shelby County, Tennessee",2997,175,806,1875,5.83917250583917,26.8935602268936,62.5625625625626,B
47157021354,"Census Tract 213.54, Shelby County, Tennessee",5235,222,1396,2676,4.2406876790831,26.6666666666667,51.1174785100287,B
47157021543,"Census Tract 215.43, Shelby County, Tennessee",3330,147,1168,1199,4.41441441441441,35.0750750750751,36.006006006006,B
47157021547,"Census Tract 215.47, Shelby County, Tennessee",5107,240,516,4006,4.69943215194831,10.1037791266889,78.4413550029371,B
47157021548,"Census Tract 215.48, Shelby County, Tennessee",2500,102,803,1223,4.08,32.12,48.92,B
47157021710,"Census Tract 217.10, Shelby County, Tennessee",1954,65,115,1730,3.32650972364381,5.88536335721597,88.5363357215967,B
47157021721,"Census Tract 217.21, Shelby County, Tennessee",3485,289,183,2899,8.29268292682927,5.25107604017217,83.1850789096126,B
47157021724,"Census Tract 217.24, Shelby County, Tennessee",1707,223,96,1341,13.0638547158758,5.62390158172232,78.5588752196837,B
47157021725,"Census Tract 217.25, Shelby County, Tennessee",2891,213,130,2486,7.3676928398478,4.49671393981321,85.9910065721204,B
47157021731,"Census Tract 217.31, Shelby County, Tennessee",1886,529,52,1269,28.0487804878049,2.75715800636267,67.2852598091198,B
47157021744,"Census Tract 217.44, Shelby County, Tennessee",4427,382,391,3497,8.62886830810933,8.83216625254122,78.9925457420375,B
47157021745,"Census Tract 217.45, Shelby County, Tennessee",6265,423,515,5104,6.75179569034318,8.22027134876297,81.4684756584198,B
47157021746,"Census Tract 217.46, Shelby County, Tennessee",3477,300,218,2881,8.62812769628991,6.26977279263733,82.8587863100374,B
47157021747,"Census Tract 217.47, Shelby County, Tennessee",2839,324,136,2291,11.4124691792885,4.79041916167665,80.6974286720676,B
47157021751,"Census Tract 217.51, Shelby County, Tennessee",5702,374,339,4785,6.55910206944932,5.9452823570677,83.9179235356015,B
47157021752,"Census Tract 217.52, Shelby County, Tennessee",3849,149,151,3413,3.87113535983372,3.92309690828787,88.6723824369966,B
47157021753,"Census Tract 217.53, Shelby County, Tennessee",2385,250,172,1903,10.482180293501,7.21174004192872,79.79035639413,B
47157021754,"Census Tract 217.54, Shelby County, Tennessee",3192,282,191,2615,8.83458646616541,5.98370927318296,81.9235588972431,B
47157021755,"Census Tract 217.55, Shelby County, Tennessee",1285,44,97,1113,3.42412451361868,7.54863813229572,86.6147859922179,B
47157021756,"Census Tract 217.56, Shelby County, Tennessee",1762,103,664,956,5.84562996594779,37.6844494892168,54.2565266742338,B
47157021757,"Census Tract 217.57, Shelby County, Tennessee",2495,233,88,2123,9.33867735470942,3.52705410821643,85.0901803607215,B
47157021758,"Census Tract 217.58, Shelby County, Tennessee",2177,180,131,1793,8.26825907211759,6.01745521359669,82.3610473128158,B
47157021759,"Census Tract 217.59, Shelby County, Tennessee",2949,518,140,2228,17.5652763648694,4.74737199050526,75.5510342488979,B
47157021760,"Census Tract 217.60, Shelby County, Tennessee",2602,436,120,1974,16.7563412759416,4.61183704842429,75.8647194465796,B
47157021900,"Census Tract 219, Shelby County, Tennessee",3576,120,77,3310,3.35570469798658,2.15324384787472,92.5615212527964,B
47157022023,"Census Tract 220.23, Shelby County, Tennessee",1349,10,16,1291,0.741289844329133,1.18606375092661,95.700518902891,B
47157022024,"Census Tract 220.24, Shelby County, Tennessee",2606,16,83,2471,0.613967766692249,3.18495778971604,94.8196469685342,B
47157022025,"Census Tract 220.25, Shelby County, Tennessee",1881,31,56,1729,1.64805954279638,2.97713981924508,91.9191919191919,B
47157022026,"Census Tract 220.26, Shelby County, Tennessee",1513,14,54,1407,0.92531394580304,3.56906807666887,92.9940515532056,B
47157022111,"Census Tract 221.11, Shelby County, Tennessee",4013,197,103,3603,4.90904560179417,2.56665836032893,89.7832045850984,B
47157022121,"Census Tract 221.21, Shelby County, Tennessee",3413,33,117,3209,0.966891297978318,3.42806914737767,94.0228537943159,B
47157022122,"Census Tract 221.22, Shelby County, Tennessee",2944,16,68,2801,0.543478260869565,2.30978260869565,95.1426630434783,B
47157022130,"Census Tract 221.30, Shelby County, Tennessee",3663,34,134,3424,0.928200928200928,3.65820365820366,93.4752934752935,B
47157022131,"Census Tract 221.31, Shelby County, Tennessee",2043,14,39,1933,0.685266764561919,1.90895741556535,94.6157611355849,B
47157022132,"Census Tract 221.32, Shelby County, Tennessee",2171,17,76,2032,0.783049286043298,3.50069092584063,93.5974205435283,B
47157022210,"Census Tract 222.10, Shelby County, Tennessee",3222,38,45,3072,1.17939168218498,1.39664804469274,95.3445065176909,B
47157022220,"Census Tract 222.20, Shelby County, Tennessee",2585,13,44,2461,0.502901353965184,1.70212765957447,95.2030947775629,B
47157022310,"Census Tract 223.10, Shelby County, Tennessee",3918,26,25,3766,0.663603879530373,0.638080653394589,96.1204696273609,B
